local_time,RA_app_hms,Dec_app_dms,alt_deg,airmass,moon_alt_deg,moon_sep_deg
2025-10-29 19:37:49 MDT,2:42:42.62264022,0:06:12.93724373,5.315,10.795,36.181,86.571
2025-10-29 19:40:49 MDT,2:42:42.6226454,0:06:12.93720201,5.946,9.653,36.154,86.556
2025-10-29 19:43:49 MDT,2:42:42.62265057,0:06:12.93716023,6.577,8.731,36.118,86.541
2025-10-29 19:46:49 MDT,2:42:42.62265574,0:06:12.9371184,7.207,7.970,36.073,86.526
2025-10-29 19:49:49 MDT,2:42:42.6226609,0:06:12.93707651,7.838,7.333,36.019,86.511
2025-10-29 19:52:49 MDT,2:42:42.62266607,0:06:12.93703457,8.467,6.791,35.956,86.496
2025-10-29 19:55:49 MDT,2:42:42.62267123,0:06:12.93699258,9.097,6.325,35.884,86.481
2025-10-29 19:58:49 MDT,2:42:42.62267639,0:06:12.93695053,9.725,5.920,35.802,86.466
2025-10-29 20:01:49 MDT,2:42:42.62268155,0:06:12.93690842,10.354,5.564,35.712,86.451
2025-10-29 20:04:49 MDT,2:42:42.62268671,0:06:12.93686626,10.982,5.250,35.613,86.436
2025-10-29 20:07:49 MDT,2:42:42.62269187,0:06:12.93682404,11.609,4.969,35.505,86.421
2025-10-29 20:10:49 MDT,2:42:42.62269702,0:06:12.93678177,12.235,4.719,35.389,86.405
2025-10-29 20:13:49 MDT,2:42:42.62270218,0:06:12.93673945,12.861,4.493,35.263,86.390
2025-10-29 20:16:49 MDT,2:42:42.62270733,0:06:12.93669706,13.487,4.288,35.129,86.375
2025-10-29 20:19:49 MDT,2:42:42.62271248,0:06:12.93665463,14.111,4.102,34.986,86.360
2025-10-29 20:22:49 MDT,2:42:42.62271763,0:06:12.93661213,14.735,3.932,34.835,86.345
2025-10-29 20:25:49 MDT,2:42:42.62272277,0:06:12.93656958,15.358,3.776,34.675,86.329
2025-10-29 20:28:49 MDT,2:42:42.62272792,0:06:12.93652698,15.980,3.632,34.507,86.314
2025-10-29 20:31:49 MDT,2:42:42.62273306,0:06:12.93648432,16.601,3.500,34.331,86.299
2025-10-29 20:34:49 MDT,2:42:42.6227382,0:06:12.9364416,17.222,3.378,34.146,86.283
2025-10-29 20:37:49 MDT,2:42:42.62274334,0:06:12.93639883,17.841,3.264,33.953,86.268
2025-10-29 20:40:49 MDT,2:42:42.62274848,0:06:12.936356,18.459,3.158,33.752,86.252
2025-10-29 20:43:49 MDT,2:42:42.62275362,0:06:12.93631311,19.077,3.060,33.543,86.237
2025-10-29 20:46:49 MDT,2:42:42.62275875,0:06:12.93627017,19.693,2.968,33.326,86.221
2025-10-29 20:49:49 MDT,2:42:42.62276388,0:06:12.93622717,20.308,2.881,33.102,86.205
2025-10-29 20:52:49 MDT,2:42:42.62276901,0:06:12.93618412,20.922,2.800,32.869,86.190
2025-10-29 20:55:49 MDT,2:42:42.62277414,0:06:12.93614101,21.534,2.724,32.630,86.174
2025-10-29 20:58:49 MDT,2:42:42.62277927,0:06:12.93609784,22.146,2.653,32.382,86.158
