local_time,RA_app_hms,Dec_app_dms,alt_deg,airmass,moon_alt_deg,moon_sep_deg
2025-10-29 19:37:49 MDT,0:20:06.54151671,8:39:27.46677517,39.545,1.571,36.181,57.892
2025-10-29 19:40:49 MDT,0:20:06.54149219,8:39:27.46682219,40.147,1.551,36.154,57.875
2025-10-29 19:43:49 MDT,0:20:06.54146767,8:39:27.46686913,40.747,1.532,36.118,57.857
2025-10-29 19:46:49 MDT,0:20:06.54144315,8:39:27.46691597,41.346,1.514,36.073,57.840
2025-10-29 19:49:49 MDT,0:20:06.54141863,8:39:27.46696273,41.942,1.496,36.019,57.822
2025-10-29 19:52:49 MDT,0:20:06.5413941,8:39:27.46700941,42.536,1.479,35.956,57.805
2025-10-29 19:55:49 MDT,0:20:06.54136957,8:39:27.46705599,43.127,1.463,35.884,57.787
2025-10-29 19:58:49 MDT,0:20:06.54134504,8:39:27.4671025,43.717,1.447,35.802,57.769
2025-10-29 20:01:49 MDT,0:20:06.54132051,8:39:27.46714891,44.303,1.432,35.712,57.752
2025-10-29 20:04:49 MDT,0:20:06.54129598,8:39:27.46719524,44.887,1.417,35.613,57.734
2025-10-29 20:07:49 MDT,0:20:06.54127145,8:39:27.46724148,45.468,1.403,35.505,57.716
2025-10-29 20:10:49 MDT,0:20:06.54124691,8:39:27.46728764,46.047,1.389,35.389,57.698
2025-10-29 20:13:49 MDT,0:20:06.54122237,8:39:27.46733371,46.622,1.376,35.263,57.681
2025-10-29 20:16:49 MDT,0:20:06.54119783,8:39:27.46737969,47.194,1.363,35.129,57.663
2025-10-29 20:19:49 MDT,0:20:06.54117329,8:39:27.46742558,47.762,1.351,34.986,57.645
2025-10-29 20:22:49 MDT,0:20:06.54114875,8:39:27.46747139,48.327,1.339,34.835,57.627
2025-10-29 20:25:49 MDT,0:20:06.5411242,8:39:27.46751712,48.889,1.327,34.675,57.609
2025-10-29 20:28:49 MDT,0:20:06.54109966,8:39:27.46756275,49.447,1.316,34.507,57.591
2025-10-29 20:31:49 MDT,0:20:06.54107511,8:39:27.4676083,50.000,1.305,34.331,57.573
2025-10-29 20:34:49 MDT,0:20:06.54105056,8:39:27.46765376,50.550,1.295,34.146,57.554
2025-10-29 20:37:49 MDT,0:20:06.54102601,8:39:27.46769914,51.095,1.285,33.953,57.536
2025-10-29 20:40:49 MDT,0:20:06.54100146,8:39:27.46774443,51.635,1.275,33.752,57.518
2025-10-29 20:43:49 MDT,0:20:06.5409769,8:39:27.46778963,52.171,1.266,33.543,57.500
2025-10-29 20:46:49 MDT,0:20:06.54095235,8:39:27.46783474,52.702,1.257,33.326,57.481
2025-10-29 20:49:49 MDT,0:20:06.54092779,8:39:27.46787977,53.227,1.248,33.102,57.463
2025-10-29 20:52:49 MDT,0:20:06.54090323,8:39:27.46792471,53.747,1.240,32.869,57.444
2025-10-29 20:55:49 MDT,0:20:06.54087867,8:39:27.46796956,54.261,1.232,32.630,57.425
2025-10-29 20:58:49 MDT,0:20:06.54085411,8:39:27.46801433,54.769,1.224,32.382,57.407
2025-10-29 21:01:49 MDT,0:20:06.54082954,8:39:27.46805901,55.271,1.217,32.127,57.388
2025-10-29 21:04:49 MDT,0:20:06.54080498,8:39:27.4681036,55.767,1.210,31.865,57.369
2025-10-29 21:07:49 MDT,0:20:06.54078041,8:39:27.46814811,56.255,1.203,31.596,57.350
2025-10-29 21:10:49 MDT,0:20:06.54075584,8:39:27.46819252,56.737,1.196,31.319,57.332
2025-10-29 21:13:49 MDT,0:20:06.54073127,8:39:27.46823686,57.210,1.190,31.036,57.313
2025-10-29 21:16:49 MDT,0:20:06.5407067,8:39:27.4682811,57.676,1.183,30.746,57.293
2025-10-29 21:19:49 MDT,0:20:06.54068212,8:39:27.46832525,58.134,1.177,30.449,57.274
2025-10-29 21:22:49 MDT,0:20:06.54065755,8:39:27.46836932,58.583,1.172,30.145,57.255
2025-10-29 21:25:49 MDT,0:20:06.54063297,8:39:27.4684133,59.023,1.166,29.834,57.236
2025-10-29 21:28:49 MDT,0:20:06.54060839,8:39:27.4684572,59.454,1.161,29.518,57.216
2025-10-29 21:31:49 MDT,0:20:06.54058381,8:39:27.468501,59.875,1.156,29.194,57.197
2025-10-29 21:34:49 MDT,0:20:06.54055923,8:39:27.46854472,60.286,1.151,28.865,57.177
2025-10-29 21:37:49 MDT,0:20:06.54053465,8:39:27.46858835,60.686,1.147,28.529,57.158
2025-10-29 21:40:49 MDT,0:20:06.54051006,8:39:27.4686319,61.075,1.143,28.187,57.138
2025-10-29 21:43:49 MDT,0:20:06.54048547,8:39:27.46867535,61.453,1.138,27.840,57.118
2025-10-29 21:46:49 MDT,0:20:06.54046088,8:39:27.46871872,61.819,1.134,27.486,57.099
2025-10-29 21:49:49 MDT,0:20:06.54043629,8:39:27.468762,62.172,1.131,27.127,57.079
2025-10-29 21:52:49 MDT,0:20:06.5404117,8:39:27.4688052,62.512,1.127,26.762,57.059
2025-10-29 21:55:49 MDT,0:20:06.54038711,8:39:27.4688483,62.838,1.124,26.392,57.038
2025-10-29 21:58:49 MDT,0:20:06.54036251,8:39:27.46889132,63.151,1.121,26.016,57.018
2025-10-29 22:01:49 MDT,0:20:06.54033792,8:39:27.46893425,63.449,1.118,25.635,56.998
2025-10-29 22:04:49 MDT,0:20:06.54031332,8:39:27.46897709,63.732,1.115,25.248,56.978
2025-10-29 22:07:49 MDT,0:20:06.54028872,8:39:27.46901984,63.999,1.113,24.857,56.957
2025-10-29 22:10:49 MDT,0:20:06.54026411,8:39:27.46906251,64.250,1.110,24.460,56.937
2025-10-29 22:13:49 MDT,0:20:06.54023951,8:39:27.46910509,64.486,1.108,24.059,56.916
2025-10-29 22:16:49 MDT,0:20:06.54021491,8:39:27.46914758,64.704,1.106,23.652,56.895
2025-10-29 22:19:49 MDT,0:20:06.5401903,8:39:27.46918998,64.904,1.104,23.241,56.874
2025-10-29 22:22:49 MDT,0:20:06.54016569,8:39:27.4692323,65.087,1.103,22.825,56.853
2025-10-29 22:25:49 MDT,0:20:06.54014108,8:39:27.46927452,65.252,1.101,22.405,56.832
2025-10-29 22:28:49 MDT,0:20:06.54011647,8:39:27.46931666,65.398,1.100,21.980,56.811
2025-10-29 22:31:49 MDT,0:20:06.54009186,8:39:27.46935871,65.525,1.099,21.551,56.790
2025-10-29 22:34:49 MDT,0:20:06.54006724,8:39:27.46940067,65.633,1.098,21.117,56.769
2025-10-29 22:37:49 MDT,0:20:06.54004263,8:39:27.46944255,65.722,1.097,20.679,56.747
2025-10-29 22:40:49 MDT,0:20:06.54001801,8:39:27.46948433,65.791,1.096,20.237,56.726
2025-10-29 22:43:49 MDT,0:20:06.53999339,8:39:27.46952603,65.840,1.096,19.791,56.704
2025-10-29 22:46:49 MDT,0:20:06.53996877,8:39:27.46956764,65.869,1.096,19.341,56.682
2025-10-29 22:49:49 MDT,0:20:06.53994414,8:39:27.46960916,65.878,1.096,18.888,56.661
2025-10-29 22:52:49 MDT,0:20:06.53991952,8:39:27.46965059,65.866,1.096,18.430,56.639
2025-10-29 22:55:49 MDT,0:20:06.53989489,8:39:27.46969193,65.835,1.096,17.968,56.617
2025-10-29 22:58:49 MDT,0:20:06.53987026,8:39:27.46973319,65.784,1.096,17.503,56.595
2025-10-29 23:01:49 MDT,0:20:06.53984564,8:39:27.46977435,65.713,1.097,17.035,56.572
