local_time,RA_app_hms,Dec_app_dms,alt_deg,airmass,moon_alt_deg,moon_sep_deg
2025-10-29 19:37:49 MDT,23:19:06.62645833,-8:20:05.99207626,38.348,1.612,36.181,36.384
2025-10-29 19:40:49 MDT,23:19:06.6264249,-8:20:05.99221694,38.777,1.597,36.154,36.367
2025-10-29 19:43:49 MDT,23:19:06.62639147,-8:20:05.99235771,39.200,1.582,36.118,36.351
2025-10-29 19:46:49 MDT,23:19:06.62635804,-8:20:05.99249856,39.617,1.568,36.073,36.334
2025-10-29 19:49:49 MDT,23:19:06.62632461,-8:20:05.9926395,40.027,1.555,36.019,36.317
2025-10-29 19:52:49 MDT,23:19:06.62629118,-8:20:05.99278052,40.430,1.542,35.956,36.300
2025-10-29 19:55:49 MDT,23:19:06.62625775,-8:20:05.99292163,40.826,1.530,35.884,36.283
2025-10-29 19:58:49 MDT,23:19:06.62622432,-8:20:05.99306283,41.214,1.518,35.802,36.266
2025-10-29 20:01:49 MDT,23:19:06.62619088,-8:20:05.99320411,41.596,1.506,35.712,36.250
2025-10-29 20:04:49 MDT,23:19:06.62615745,-8:20:05.99334547,41.969,1.495,35.613,36.233
2025-10-29 20:07:49 MDT,23:19:06.62612401,-8:20:05.99348692,42.335,1.485,35.505,36.216
2025-10-29 20:10:49 MDT,23:19:06.62609058,-8:20:05.99362845,42.693,1.475,35.389,36.199
2025-10-29 20:13:49 MDT,23:19:06.62605714,-8:20:05.99377007,43.043,1.465,35.263,36.182
2025-10-29 20:16:49 MDT,23:19:06.6260237,-8:20:05.99391178,43.385,1.456,35.129,36.165
2025-10-29 20:19:49 MDT,23:19:06.62599026,-8:20:05.99405357,43.718,1.447,34.986,36.147
2025-10-29 20:22:49 MDT,23:19:06.62595682,-8:20:05.99419545,44.042,1.438,34.835,36.130
2025-10-29 20:25:49 MDT,23:19:06.62592338,-8:20:05.99433741,44.357,1.430,34.675,36.113
2025-10-29 20:28:49 MDT,23:19:06.62588993,-8:20:05.99447945,44.663,1.423,34.507,36.096
2025-10-29 20:31:49 MDT,23:19:06.62585649,-8:20:05.99462159,44.960,1.415,34.331,36.079
2025-10-29 20:34:49 MDT,23:19:06.62582304,-8:20:05.9947638,45.248,1.408,34.146,36.061
2025-10-29 20:37:49 MDT,23:19:06.6257896,-8:20:05.99490611,45.526,1.401,33.953,36.044
2025-10-29 20:40:49 MDT,23:19:06.62575615,-8:20:05.9950485,45.794,1.395,33.752,36.026
2025-10-29 20:43:49 MDT,23:19:06.6257227,-8:20:05.99519097,46.052,1.389,33.543,36.009
2025-10-29 20:46:49 MDT,23:19:06.62568925,-8:20:05.99533353,46.300,1.383,33.326,35.991
2025-10-29 20:49:49 MDT,23:19:06.6256558,-8:20:05.99547617,46.537,1.378,33.102,35.974
2025-10-29 20:52:49 MDT,23:19:06.62562235,-8:20:05.9956189,46.764,1.373,32.869,35.956
2025-10-29 20:55:49 MDT,23:19:06.62558889,-8:20:05.99576172,46.980,1.368,32.630,35.938
2025-10-29 20:58:49 MDT,23:19:06.62555544,-8:20:05.99590462,47.186,1.363,32.382,35.921
2025-10-29 21:01:49 MDT,23:19:06.62552199,-8:20:05.9960476,47.380,1.359,32.127,35.903
2025-10-29 21:04:49 MDT,23:19:06.62548853,-8:20:05.99619068,47.563,1.355,31.865,35.885
2025-10-29 21:07:49 MDT,23:19:06.62545507,-8:20:05.99633383,47.735,1.351,31.596,35.867
2025-10-29 21:10:49 MDT,23:19:06.62542161,-8:20:05.99647708,47.895,1.348,31.319,35.849
2025-10-29 21:13:49 MDT,23:19:06.62538815,-8:20:05.9966204,48.043,1.345,31.036,35.831
2025-10-29 21:16:49 MDT,23:19:06.62535469,-8:20:05.99676382,48.180,1.342,30.746,35.813
2025-10-29 21:19:49 MDT,23:19:06.62532123,-8:20:05.99690732,48.305,1.339,30.449,35.795
2025-10-29 21:22:49 MDT,23:19:06.62528777,-8:20:05.9970509,48.418,1.337,30.145,35.776
2025-10-29 21:25:49 MDT,23:19:06.62525431,-8:20:05.99719457,48.519,1.335,29.834,35.758
2025-10-29 21:28:49 MDT,23:19:06.62522084,-8:20:05.99733833,48.608,1.333,29.518,35.740
2025-10-29 21:31:49 MDT,23:19:06.62518738,-8:20:05.99748217,48.685,1.331,29.194,35.721
2025-10-29 21:34:49 MDT,23:19:06.62515391,-8:20:05.9976261,48.749,1.330,28.865,35.702
2025-10-29 21:37:49 MDT,23:19:06.62512044,-8:20:05.99777011,48.801,1.329,28.529,35.684
2025-10-29 21:40:49 MDT,23:19:06.62508697,-8:20:05.99791421,48.840,1.328,28.187,35.665
2025-10-29 21:43:49 MDT,23:19:06.6250535,-8:20:05.99805839,48.868,1.328,27.840,35.646
2025-10-29 21:46:49 MDT,23:19:06.62502003,-8:20:05.99820266,48.882,1.327,27.486,35.627
2025-10-29 21:49:49 MDT,23:19:06.62498656,-8:20:05.99834701,48.884,1.327,27.127,35.608
2025-10-29 21:52:49 MDT,23:19:06.62495309,-8:20:05.99849145,48.874,1.328,26.762,35.589
2025-10-29 21:55:49 MDT,23:19:06.62491961,-8:20:05.99863598,48.851,1.328,26.392,35.570
2025-10-29 21:58:49 MDT,23:19:06.62488614,-8:20:05.99878059,48.816,1.329,26.016,35.551
2025-10-29 22:01:49 MDT,23:19:06.62485266,-8:20:05.99892529,48.768,1.330,25.635,35.532
2025-10-29 22:04:49 MDT,23:19:06.62481918,-8:20:05.99907007,48.708,1.331,25.248,35.512
2025-10-29 22:07:49 MDT,23:19:06.62478571,-8:20:05.99921494,48.635,1.332,24.857,35.493
2025-10-29 22:10:49 MDT,23:19:06.62475223,-8:20:05.9993599,48.551,1.334,24.460,35.473
2025-10-29 22:13:49 MDT,23:19:06.62471875,-8:20:05.99950494,48.454,1.336,24.059,35.454
2025-10-29 22:16:49 MDT,23:19:06.62468526,-8:20:05.99965006,48.345,1.338,23.652,35.434
2025-10-29 22:19:49 MDT,23:19:06.62465178,-8:20:05.99979528,48.224,1.341,23.241,35.414
2025-10-29 22:22:49 MDT,23:19:06.6246183,-8:20:05.99994057,48.091,1.344,22.825,35.394
2025-10-29 22:25:49 MDT,23:19:06.62458481,-8:20:06.00008596,47.946,1.347,22.405,35.374
2025-10-29 22:28:49 MDT,23:19:06.62455133,-8:20:06.00023143,47.790,1.350,21.980,35.354
2025-10-29 22:31:49 MDT,23:19:06.62451784,-8:20:06.00037698,47.622,1.354,21.551,35.334
2025-10-29 22:34:49 MDT,23:19:06.62448435,-8:20:06.00052262,47.443,1.358,21.117,35.313
2025-10-29 22:37:49 MDT,23:19:06.62445086,-8:20:06.00066835,47.252,1.362,20.679,35.293
2025-10-29 22:40:49 MDT,23:19:06.62441737,-8:20:06.00081416,47.051,1.366,20.237,35.272
2025-10-29 22:43:49 MDT,23:19:06.62438388,-8:20:06.00096006,46.838,1.371,19.791,35.252
2025-10-29 22:46:49 MDT,23:19:06.62435039,-8:20:06.00110604,46.615,1.376,19.341,35.231
2025-10-29 22:49:49 MDT,23:19:06.62431689,-8:20:06.00125211,46.381,1.381,18.888,35.210
2025-10-29 22:52:49 MDT,23:19:06.6242834,-8:20:06.00139826,46.137,1.387,18.430,35.189
2025-10-29 22:55:49 MDT,23:19:06.6242499,-8:20:06.00154451,45.882,1.393,17.968,35.168
2025-10-29 22:58:49 MDT,23:19:06.62421641,-8:20:06.00169083,45.618,1.399,17.503,35.147
2025-10-29 23:01:49 MDT,23:19:06.62418291,-8:20:06.00183725,45.343,1.406,17.035,35.126
2025-10-29 23:04:49 MDT,23:19:06.62414941,-8:20:06.00198374,45.059,1.413,16.563,35.104
2025-10-29 23:07:49 MDT,23:19:06.62411591,-8:20:06.00213033,44.765,1.420,16.087,35.083
2025-10-29 23:10:49 MDT,23:19:06.62408241,-8:20:06.002277,44.462,1.428,15.608,35.061
2025-10-29 23:13:49 MDT,23:19:06.6240489,-8:20:06.00242376,44.149,1.436,15.126,35.040
2025-10-29 23:16:49 MDT,23:19:06.6240154,-8:20:06.0025706,43.828,1.444,14.641,35.018
2025-10-29 23:19:49 MDT,23:19:06.6239819,-8:20:06.00271753,43.498,1.453,14.152,34.996
2025-10-29 23:22:49 MDT,23:19:06.62394839,-8:20:06.00286454,43.160,1.462,13.661,34.974
2025-10-29 23:25:49 MDT,23:19:06.62391488,-8:20:06.00301164,42.813,1.471,13.166,34.952
2025-10-29 23:28:49 MDT,23:19:06.62388138,-8:20:06.00315883,42.457,1.481,12.668,34.930
2025-10-29 23:31:49 MDT,23:19:06.62384787,-8:20:06.0033061,42.094,1.492,12.168,34.907
2025-10-29 23:34:49 MDT,23:19:06.62381436,-8:20:06.00345345,41.723,1.503,11.665,34.885
2025-10-29 23:37:49 MDT,23:19:06.62378085,-8:20:06.0036009,41.344,1.514,11.159,34.862
2025-10-29 23:40:49 MDT,23:19:06.62374733,-8:20:06.00374843,40.958,1.526,10.650,34.839
2025-10-29 23:43:49 MDT,23:19:06.62371382,-8:20:06.00389604,40.565,1.538,10.139,34.817
2025-10-29 23:46:49 MDT,23:19:06.62368031,-8:20:06.00404374,40.164,1.550,9.625,34.794
2025-10-29 23:49:49 MDT,23:19:06.62364679,-8:20:06.00419153,39.756,1.564,9.108,34.771
2025-10-29 23:52:49 MDT,23:19:06.62361327,-8:20:06.0043394,39.342,1.577,8.589,34.747
2025-10-29 23:55:49 MDT,23:19:06.62357976,-8:20:06.00448736,38.921,1.592,8.068,34.724
2025-10-29 23:58:49 MDT,23:19:06.62354624,-8:20:06.00463541,38.494,1.607,7.544,34.701
2025-10-30 00:01:49 MDT,23:19:06.62351272,-8:20:06.00478354,38.060,1.622,7.018,34.677
2025-10-30 00:04:49 MDT,23:19:06.6234792,-8:20:06.00493176,37.621,1.638,6.490,34.654
2025-10-30 00:07:49 MDT,23:19:06.62344567,-8:20:06.00508006,37.175,1.655,5.959,34.630
2025-10-30 00:10:49 MDT,23:19:06.62341215,-8:20:06.00522845,36.723,1.672,5.426,34.606
2025-10-30 00:13:49 MDT,23:19:06.62337863,-8:20:06.00537693,36.266,1.691,4.891,34.582
2025-10-30 00:16:49 MDT,23:19:06.6233451,-8:20:06.00552549,35.804,1.709,4.355,34.558
2025-10-30 00:19:49 MDT,23:19:06.62331157,-8:20:06.00567413,35.336,1.729,3.816,34.533
2025-10-30 00:22:49 MDT,23:19:06.62327804,-8:20:06.00582287,34.863,1.749,3.275,34.509
2025-10-30 00:25:49 MDT,23:19:06.62324452,-8:20:06.00597169,34.384,1.771,2.732,34.485
2025-10-30 00:28:49 MDT,23:19:06.62321099,-8:20:06.00612059,33.901,1.793,2.187,34.460
2025-10-30 00:31:49 MDT,23:19:06.62317745,-8:20:06.00626958,33.413,1.816,1.641,34.435
2025-10-30 00:34:49 MDT,23:19:06.62314392,-8:20:06.00641866,32.921,1.840,1.092,34.410
2025-10-30 00:37:49 MDT,23:19:06.62311039,-8:20:06.00656782,32.423,1.865,0.542,34.385
2025-10-30 00:40:49 MDT,23:19:06.62307685,-8:20:06.00671707,31.922,1.891,-0.010,34.360
2025-10-30 00:43:49 MDT,23:19:06.62304332,-8:20:06.00686641,31.416,1.918,-0.563,34.335
2025-10-30 00:46:49 MDT,23:19:06.62300978,-8:20:06.00701583,30.906,1.947,-1.118,34.310
2025-10-30 00:49:49 MDT,23:19:06.62297624,-8:20:06.00716534,30.392,1.977,-1.675,34.284
2025-10-30 00:52:49 MDT,23:19:06.6229427,-8:20:06.00731493,29.874,2.008,-2.234,34.259
2025-10-30 00:55:49 MDT,23:19:06.62290916,-8:20:06.00746461,29.352,2.040,-2.793,34.233
2025-10-30 00:58:49 MDT,23:19:06.62287562,-8:20:06.00761438,28.826,2.074,-3.355,34.207
2025-10-30 01:01:49 MDT,23:19:06.62284208,-8:20:06.00776423,28.296,2.110,-3.918,34.181
2025-10-30 01:04:49 MDT,23:19:06.62280854,-8:20:06.00791417,27.764,2.147,-4.482,34.155
2025-10-30 01:07:49 MDT,23:19:06.62277499,-8:20:06.00806419,27.227,2.186,-5.047,34.129
2025-10-30 01:10:49 MDT,23:19:06.62274145,-8:20:06.00821431,26.687,2.227,-5.614,34.102
2025-10-30 01:13:49 MDT,23:19:06.6227079,-8:20:06.0083645,26.144,2.269,-6.183,34.076
2025-10-30 01:16:49 MDT,23:19:06.62267435,-8:20:06.00851479,25.598,2.314,-6.752,34.049
2025-10-30 01:19:49 MDT,23:19:06.6226408,-8:20:06.00866515,25.049,2.362,-7.323,34.023
2025-10-30 01:22:49 MDT,23:19:06.62260725,-8:20:06.00881561,24.497,2.412,-7.895,33.996
2025-10-30 01:25:49 MDT,23:19:06.6225737,-8:20:06.00896615,23.942,2.464,-8.469,33.969
2025-10-30 01:28:49 MDT,23:19:06.62254015,-8:20:06.00911678,23.384,2.520,-9.043,33.942
2025-10-30 01:31:49 MDT,23:19:06.62250659,-8:20:06.00926749,22.823,2.578,-9.619,33.914
2025-10-30 01:34:49 MDT,23:19:06.62247304,-8:20:06.00941829,22.260,2.640,-10.195,33.887
2025-10-30 01:37:49 MDT,23:19:06.62243948,-8:20:06.00956918,21.694,2.705,-10.773,33.860
2025-10-30 01:40:49 MDT,23:19:06.62240593,-8:20:06.00972015,21.125,2.775,-11.352,33.832
2025-10-30 01:43:49 MDT,23:19:06.62237237,-8:20:06.00987121,20.554,2.848,-11.932,33.804
2025-10-30 01:46:49 MDT,23:19:06.62233881,-8:20:06.01002235,19.981,2.926,-12.512,33.776
2025-10-30 01:49:49 MDT,23:19:06.62230525,-8:20:06.01017358,19.405,3.010,-13.094,33.748
2025-10-30 01:52:49 MDT,23:19:06.62227169,-8:20:06.0103249,18.827,3.099,-13.677,33.720
2025-10-30 01:55:49 MDT,23:19:06.62223812,-8:20:06.0104763,18.247,3.194,-14.260,33.692
2025-10-30 01:58:49 MDT,23:19:06.62220456,-8:20:06.01062779,17.665,3.295,-14.845,33.664
